X;Y
0;[0. 0.]
1;[-0.00220543 -0.0030329 ]
2;[-0.00442585 -0.00603518]
3;[-0.00666071 -0.00900734]
4;[-0.00890947 -0.01194984]
5;[-0.01117158 -0.01486315]
6;[-0.01344652 -0.01774771]
7;[-0.01573375 -0.02060397]
8;[-0.01803275 -0.02343237]
9;[-0.020343   -0.02623333]
10;[-0.02266397 -0.02900727]
11;[-0.02499516 -0.0317546 ]
12;[-0.02733606 -0.03447573]
13;[-0.02968615 -0.03717105]
14;[-0.03204495 -0.03984095]
15;[-0.03441194 -0.04248582]
16;[-0.03678663 -0.04510601]
17;[-0.03916854 -0.04770191]
18;[-0.04155717 -0.05027387]
19;[-0.04395205 -0.05282225]
20;[-0.04635268 -0.05534739]
21;[-0.04875861 -0.05784963]
22;[-0.05116934 -0.06032932]
23;[-0.05358441 -0.06278677]
24;[-0.05600336 -0.06522231]
25;[-0.05842571 -0.06763627]
26;[-0.06085102 -0.07002894]
27;[-0.06327882 -0.07240065]
28;[-0.06570865 -0.07475168]
29;[-0.06814008 -0.07708234]
30;[-0.07057264 -0.07939291]
31;[-0.0730059 -0.0816837]
32;[-0.07543941 -0.08395496]
33;[-0.07787274 -0.08620699]
34;[-0.08030544 -0.08844005]
35;[-0.08273709 -0.09065442]
36;[-0.08516725 -0.09285035]
37;[-0.0875955  -0.09502812]
38;[-0.09002142 -0.09718796]
39;[-0.09244458 -0.09933014]
40;[-0.09486456 -0.10145489]
41;[-0.09728094 -0.10356248]
42;[-0.09969333 -0.10565313]
43;[-0.10210129 -0.10772709]
44;[-0.10450443 -0.10978458]
45;[-0.10690235 -0.11182583]
46;[-0.10929463 -0.11385108]
47;[-0.11168088 -0.11586055]
48;[-0.1140607  -0.11785445]
49;[-0.1164337  -0.11983301]
50;[-0.11879948 -0.12179644]
51;[-0.12115766 -0.12374494]
52;[-0.12350785 -0.12567874]
53;[-0.12584966 -0.12759803]
54;[-0.12818272 -0.12950302]
55;[-0.13050664 -0.1313939 ]
56;[-0.13282105 -0.13327089]
57;[-0.13512557 -0.13513416]
58;[-0.13741984 -0.13698393]
59;[-0.13970348 -0.13882037]
60;[-0.14197613 -0.14064368]
61;[-0.14423742 -0.14245404]
62;[-0.146487   -0.14425164]
63;[-0.14872449 -0.14603666]
64;[-0.15094956 -0.14780928]
65;[-0.15316184 -0.14956968]
66;[-0.15536098 -0.15131804]
67;[-0.15754663 -0.15305453]
68;[-0.15971846 -0.15477932]
69;[-0.1618761 -0.1564926]
70;[-0.16401923 -0.15819451]
71;[-0.16614749 -0.15988525]
72;[-0.16826057 -0.16156496]
73;[-0.17035811 -0.16323383]
74;[-0.1724398 -0.164892 ]
75;[-0.1745053  -0.16653964]
76;[-0.17655428 -0.16817692]
77;[-0.17858643 -0.16980399]
78;[-0.18060141 -0.17142102]
79;[-0.18259892 -0.17302815]
80;[-0.18457863 -0.17462554]
81;[-0.18654023 -0.17621335]
82;[-0.18848341 -0.17779173]
83;[-0.19040786 -0.17936084]
84;[-0.19231327 -0.18092082]
85;[-0.19419935 -0.18247182]
86;[-0.19606578 -0.184014  ]
87;[-0.19791227 -0.1855475 ]
88;[-0.19973852 -0.18707247]
89;[-0.20154425 -0.18858905]
90;[-0.20332915 -0.19009739]
91;[-0.20509295 -0.19159763]
92;[-0.20683535 -0.19308992]
93;[-0.20855607 -0.1945744 ]
94;[-0.21025483 -0.19605122]
95;[-0.21193136 -0.1975205 ]
96;[-0.21358537 -0.1989824 ]
97;[-0.21521659 -0.20043705]
98;[-0.21682476 -0.20188459]
99;[-0.21840961 -0.20332516]
100;[-0.21997087 -0.2047589 ]
101;[-0.22150828 -0.20618594]
102;[-0.22302157 -0.20760642]
103;[-0.2245105  -0.20902048]
104;[-0.22597482 -0.21042825]
105;[-0.22741425 -0.21182986]
106;[-0.22882857 -0.21322545]
107;[-0.23021752 -0.21461516]
108;[-0.23158086 -0.21599911]
109;[-0.23291835 -0.21737744]
110;[-0.23422974 -0.21875028]
111;[-0.23551482 -0.22011776]
112;[-0.23677334 -0.22148002]
113;[-0.23800507 -0.22283718]
114;[-0.23920979 -0.22418937]
115;[-0.24038728 -0.22553673]
116;[-0.24153731 -0.22687938]
117;[-0.24265966 -0.22821746]
118;[-0.24375412 -0.22955109]
119;[-0.24482048 -0.2308804 ]
120;[-0.24585852 -0.23220552]
121;[-0.24686805 -0.23352658]
122;[-0.24784885 -0.23484371]
123;[-0.24880072 -0.23615703]
124;[-0.24972347 -0.23746666]
125;[-0.2506169  -0.23877275]
126;[-0.25148082 -0.24007541]
127;[-0.25231504 -0.24137478]
128;[-0.25311937 -0.24267097]
129;[-0.25389362 -0.24396412]
130;[-0.25463763 -0.24525434]
131;[-0.2553512  -0.24654178]
132;[-0.25603417 -0.24782654]
133;[-0.25668636 -0.24910877]
134;[-0.2573076  -0.25038858]
135;[-0.25789772 -0.2516661 ]
136;[-0.25845657 -0.25294145]
137;[-0.25898399 -0.25421476]
138;[-0.25947981 -0.25548617]
139;[-0.25994388 -0.25675578]
140;[-0.26037604 -0.25802373]
141;[-0.26077616 -0.25929014]
142;[-0.26114409 -0.26055514]
143;[-0.26147968 -0.26181885]
144;[-0.26178279 -0.2630814 ]
145;[-0.26205329 -0.26434292]
146;[-0.26229104 -0.26560352]
147;[-0.26249591 -0.26686334]
148;[-0.26266778 -0.2681225 ]
149;[-0.26280652 -0.26938113]
150;[-0.262912   -0.27063935]
151;[-0.26298412 -0.27189729]
152;[-0.26302275 -0.27315507]
